 INFO | 18/Dec/2013 09:42:13,502 | Plane.java:78 | The aircraft :AA-1 has landed in 0at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,505 | Plane.java:78 | The aircraft :AA-2 has landed in 1at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,510 | Plane.java:78 | The aircraft :AA-3 has landed in 2at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,511 | Plane.java:180 | Plane:AA-1 called for parking
 INFO | 18/Dec/2013 09:42:13,512 | Plane.java:185 | Plane:AA-1 park
 INFO | 18/Dec/2013 09:42:13,513 | Plane.java:180 | Plane:AA-2 called for parking
 INFO | 18/Dec/2013 09:42:13,538 | Plane.java:185 | Plane:AA-2 park
 INFO | 18/Dec/2013 09:42:13,539 | Plane.java:129 | The aircraft :AA-1is ready to takeoff in field 0
 INFO | 18/Dec/2013 09:42:13,542 | Plane.java:129 | The aircraft :AA-2is ready to takeoff in field 1
 INFO | 18/Dec/2013 09:42:13,544 | Airport.java:66 | Airport created with name: test and landing fields: 3
 INFO | 18/Dec/2013 09:42:13,544 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,545 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,549 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,549 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,552 | Plane.java:78 | The aircraft :AA-1 has landed in 0at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,559 | Plane.java:78 | The aircraft :AA-2 has landed in 1at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,560 | Plane.java:78 | The aircraft :AA-3 has landed in 2at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,566 | Plane.java:180 | Plane:AA-1 called for parking
 INFO | 18/Dec/2013 09:42:13,567 | Plane.java:185 | Plane:AA-1 park
 INFO | 18/Dec/2013 09:42:13,568 | Plane.java:78 | The aircraft :AA-4 has landed in 0at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,571 | Plane.java:158 | The aircraft :AA-1can't prepare to takeoff, all fields occupy 
 INFO | 18/Dec/2013 09:42:13,578 | Airport.java:66 | Airport created with name: test and landing fields: 3
 INFO | 18/Dec/2013 09:42:13,580 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,583 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,585 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,586 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,594 | Plane.java:78 | The aircraft :AA-1 has landed in 0at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,598 | Plane.java:78 | The aircraft :AA-2 has landed in 1at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,599 | Plane.java:78 | The aircraft :AA-3 has landed in 2at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,604 | Plane.java:103 | The aircraft :AA-4is back to the landing queue
 INFO | 18/Dec/2013 09:42:13,607 | Airport.java:66 | Airport created with name: test and landing fields: 3
 INFO | 18/Dec/2013 09:42:13,610 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,611 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,615 | AircraftFactoryImp.java:33 | generating a PLANE
 INFO | 18/Dec/2013 09:42:13,616 | Plane.java:78 | The aircraft :AA-1 has landed in 0at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,617 | Plane.java:78 | The aircraft :AA-2 has landed in 1at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,618 | Plane.java:78 | The aircraft :AA-3 has landed in 2at: Wed Dec 18 09:42:13 CET 2013
 INFO | 18/Dec/2013 09:42:13,619 | Plane.java:180 | Plane:AA-1 called for parking
 INFO | 18/Dec/2013 09:42:13,620 | Plane.java:185 | Plane:AA-1 park
 INFO | 18/Dec/2013 09:42:13,627 | Plane.java:180 | Plane:AA-2 called for parking
 INFO | 18/Dec/2013 09:42:13,627 | Plane.java:185 | Plane:AA-2 park
 INFO | 18/Dec/2013 09:42:13,628 | Plane.java:129 | The aircraft :AA-1is ready to takeoff in field 0
 INFO | 18/Dec/2013 09:42:13,633 | Plane.java:205 | Plane:AA-1 called for takeOff
 INFO | 18/Dec/2013 09:42:13,638 | Plane.java:212 | Plane:AA-1 takeOff
 INFO | 18/Dec/2013 09:42:36,401 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.airport.prefix
 INFO | 18/Dec/2013 09:42:36,415 | ControlTowerUtils.java:197 | returns:airport
 INFO | 18/Dec/2013 09:42:36,416 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.name.separator
 INFO | 18/Dec/2013 09:42:36,417 | ControlTowerUtils.java:197 | returns:---
 INFO | 18/Dec/2013 09:42:36,456 | Airport.java:66 | Airport created with name: Airport Test and landing fields: 3
 INFO | 18/Dec/2013 09:42:36,474 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.airport.prefix
 INFO | 18/Dec/2013 09:42:36,476 | ControlTowerUtils.java:197 | returns:airport
 INFO | 18/Dec/2013 09:42:36,477 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.name.separator
 INFO | 18/Dec/2013 09:42:36,482 | ControlTowerUtils.java:197 | returns:---
 INFO | 18/Dec/2013 09:42:36,483 | DaoFactory.java:46 | Airport DAO created
 INFO | 18/Dec/2013 09:42:36,484 | ControlTowerUtils.java:150 | Object to serialize: es.upm.emse.softdesign.controltower.model.airport.Airport@1664f1a
 INFO | 18/Dec/2013 09:42:36,485 | ControlTowerUtils.java:191 | property name: controltower.properties property key:serialized.object.folder
 INFO | 18/Dec/2013 09:42:36,498 | ControlTowerUtils.java:197 | returns:/home/AMT/workspace/ControlTower/savedObjects/
 INFO | 18/Dec/2013 09:42:36,570 | ControlTowerUtils.java:174 | Object serialized
